food_item_uid,food_item_name,restaurant_food_item_description,food_item_image_url,food_item_type,actual_price_r,old_price_s,old_price_l,actual_price_r,actual_price_s,actual-price_l,food_item_category,food_item_parent_category,restaurant_food_item_speciality,restaurant_food_item_availability,AddOns,isAddOns,isCustomizers
SW)726,Sweet Corn  (Veg),Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,90,,,90,,,SOUP (VEG),SOUP,,TRUE,FALSE,,FALSE
SW)176,Sweet Corn (Non-Veg),Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Non-Vegetarian,105,,,105,,,SOUP (NON-VEG),SOUP,,,,,
MA)550,Manchow  (Veg),Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,129,,,129,,,SOUP (VEG),SOUP,,TRUE,FALSE,,FALSE
MA)610,Manchow  (Non-Veg),Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Non-Vegetarian,139,,,139,,,SOUP (NON-VEG),SOUP,,,,,
CRM378,Cream of Mushroom,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,145,,,145,,,SOUP (VEG),SOUP,,TRUE,FALSE,,FALSE
LER189,Lemon Coriander,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,,125,145,,125,145,SOUP (VEG),SOUP,,TRUE,FALSE,,FALSE
SIM905,Sizzling Brownie with Ice Cream,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,219,,,219,,,ICE-CREAM,DESSERT,,TRUE,FALSE,,FALSE
HOE843,Hot Sizzling Brownie,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,129,,,129,,,ICE-CREAM,DESSERT,,TRUE,FALSE,,FALSE
HOM782,Hot Gulab Jamun with Ice Cream,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,155,,,155,,,ICE-CREAM,DESSERT,,TRUE,FALSE,,FALSE
MAA903,Mad Mugs Special Rasgulla,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,155,,,155,,,ICE-CREAM,DESSERT,,TRUE,FALSE,,FALSE
VAM213,Vanilla  Ice Cream,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,149,,,149,,,ICE-CREAM,DESSERT,,TRUE,FALSE,,FALSE
BUM503,Butterscotch  Ice Cream,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,149,,,149,,,ICE-CREAM,DESSERT,,TRUE,FALSE,,FALSE
CHM374,Chocolate  Ice Cream,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,149,,,149,,,ICE-CREAM,DESSERT,,TRUE,FALSE,,FALSE
